group_id,leader,topic,group_size
1,Competência Juizados Especiais,Competência Juizados Especiais,6
1,Competência Juizados Especiais,Enquadramento para Juizado Especial,6
1,Competência Juizados Especiais,Legitimidade em Execuções,6
1,Competência Juizados Especiais,Legitimidade Judicial,6
1,Competência Juizados Especiais,Legitimidade no Juizado Especial,6
1,Competência Juizados Especiais,Legitimidade nos Juizados Especiais,6
2,Aposentadoria Rural,Aposentadoria Rural,3
2,Aposentadoria Rural,Benefícios Previdenciários,3
2,Aposentadoria Rural,Contribuições e Aposentadoria,3
3,Cobrança Indevida,Cobrança Indevida,3
3,Cobrança Indevida,Isenção de Taxas para MEIs,3
3,Cobrança Indevida,Negativação Indevida,3
4,Gratuidade de Justiça,Gratuidade de Justiça,3
4,Gratuidade de Justiça,Justiça Gratuita,3
4,Gratuidade de Justiça,Justiça Gratuita para Recursos,3
5,Benefícios Assistenciais,Benefícios Assistenciais,2
5,Benefícios Assistenciais,Benefícios para Deficientes,2
6,Classificação de Segurados,Classificação de Segurados,2
6,Classificação de Segurados,Pensão por Morte,2
7,Cobrança de Débitos,Cobrança de Débitos,2
7,Cobrança de Débitos,Dívida e Conciliação,2
8,Acidentes de Trânsito,Acidentes de Trânsito,1
9,Adeção ao Simples Nacional,Adeção ao Simples Nacional,1
10,Auxílio Emergencial,Auxílio Emergencial,1
11,Citação Válida,Citação Válida,1
12,Cobrança de Dívidas Escolares,Cobrança de Dívidas Escolares,1
13,Cobrança de ICMS DIFAL,Cobrança de ICMS DIFAL,1
14,Cobrança sem Nota Fiscal,Cobrança sem Nota Fiscal,1
15,Confusão Patrimonial MEI,Confusão Patrimonial MEI,1
16,Crimes e Provas,Crimes e Provas,1
17,Desconto de Pagamento,Desconto de Pagamento,1
18,Doações Eleitorais,Doações Eleitorais,1
19,Documentação Judicial,Documentação Judicial,1
20,Embargos de Declaração,Embargos de Declaração,1
21,Execução de Títulos,Execução de Títulos,1
22,Fraude Empresarial,Fraude Empresarial,1
23,Impenhorabilidade de Bens Profissionais,Impenhorabilidade de Bens Profissionais,1
24,Impenhorabilidade de Valores,Impenhorabilidade de Valores,1
25,Irregularidades em Licitações,Irregularidades em Licitações,1
26,Juros e Cobrança,Juros e Cobrança,1
27,Liberdade Provisória,Liberdade Provisória,1
28,Licenciamento MEI,Licenciamento MEI,1
29,Problemas Bancários,Problemas Bancários,1
30,Problemas com Operadoras de Telefonia,Problemas com Operadoras de Telefonia,1
31,Problemas com Planos de Saúde,Problemas com Planos de Saúde,1
32,Processos de MEI Preso,Processos de MEI Preso,1
33,Recursos Trabalhistas,Recursos Trabalhistas,1
34,Redução de Alimentos,Redução de Alimentos,1
35,Redução de Depósito Recursal,Redução de Depósito Recursal,1
36,Registro Veterinário,Registro Veterinário,1
37,Salário-Maternidade INSS,Salário-Maternidade INSS,1
38,Seguro-Desemprego e Renda,Seguro-Desemprego e Renda,1
39,Trabalho Externo em Regime Semiaberto,Trabalho Externo em Regime Semiaberto,1
40,Vínculo Empregatício,Vínculo Empregatício,1
